 iteration          mistake                likelihood
-----------        ---------            -----------------
    0                 95                 -0.654886493
    1                 49                 -0.450017886135
    2                 42                 -0.394042416135
    4                 43                 -0.36163490142
    8                 44                 -0.346615490212
    16                40                 -0.334293647607
    32                37                 -0.322517954248
    64                37                 -0.314802423434
    128               36                 -0.311156098209
    256               36                 -0.310162742613
